datetime,city,state,country,shape,duration (seconds),comments,latitude,longitude
1/1/2013,bellingham,wa,us,disk,300,Five Glowing Orbs in the sky,48.7597222,-122.4869444
1/1/2013,norwich (uk/england),,gb,oval,40,These were real alien craft and very fast and able to stop and make clever formations; fantastic to see.,52.633333,1.3
1/1/2013,richmond,va,us,triangle,300,Orange lights over Richmond va/ d..c.,37.5536111,-77.4605556
1/1/2013,rio rancho,nm,us,other,300,5 glowing lights following eachother and disappear,35.2333333,-106.6638889
1/1/2013,bend,or,us,oval,180,www.youtube.com/watch?v=zE3H1q8yo9k  I reported seeing bright red/orange lights on December 31 2012 in Bend OR.  I later found this u,44.0583333,-121.3141667
1/1/2013,new port richey,fl,us,sphere,1200,Orange/reddish perfect sphere/glowing.,28.2438889,-82.7194444
1/1/2013,portland,or,us,other,180,I observed the following by eye &amp; through binoculars.Whilst watching the New Years Fireworks from my 2nd story which affords me a g,45.5236111,-122.675
1/1/2013,ocean springs,ms,us,fireball,120,Three craft spotted that are glowing and are an amberish color.,30.4111111,-88.8277778
1/1/2013,quebradillaa (puerto rico),,,formation,60,Oval shape red in color,18.473833,-66.938512
1/1/2013,modesto,ca,us,changing,180,3 red lights in triangle shape change shape and fade away,37.6391667,-120.9958333
1/1/2013,capalaba - brisbane (australia),,,disk,300,3 Disc like crafts sighted on the eve of 2013 in Brisbane area Australia.,-27.522349,153.191323
1/1/2013,banska bystrica (slovakia),,,sphere,120,We were watching the fireworks display bringing in the new year in our village when a football size orange light came across the roof t,48.736277,19.146192
1/1/2013,berkeley,ca,us,fireball,600,Orange orbs over the Bay Area CA on New Years and 3 made a triangle.,37.8716667,-122.2716667
1/1/2013,estero,fl,us,teardrop,180,Red teardrop shaped object sighted minutes after midnight in Estero FL.,26.4377778,-81.8069444
1/1/2013,san jose,ca,us,circle,30,Two objects that appeared star-like but were moving quite slowly in a northerly path and had blinking red-orange lights,37.3394444,-121.8938889
1/1/2013,sykesville,md,us,formation,900,3 Orange colored objects in formation over Sykesville Maryland New Year&#39s Eve 2012,39.3736111,-76.9680556
1/1/2013,billings,mt,us,light,300,Two orange lights in sky.,45.7833333,-108.5
1/1/2013,bristol,pa,us,oval,420,Multiple clusters of strange orbs traveling at a medium speed over Bristol midnight New Years Eve.,40.1005556,-74.8522222
1/1/2013,odessa,tx,us,triangle,20,Odessa tx flying object new years.,31.8455556,-102.3672222
1/1/2013,jupiter,fl,us,circle,600,Orange round lights.,26.9338889,-80.0944444
1/1/2013,milwaukee,wi,us,cone,120,Orange ball of light in sky over Milwaukee.,43.0388889,-87.9063889
1/1/2013,northampton,pa,us,unknown,240,3 Orange/red balls seen by police officer.,40.6861111,-75.4972222
1/1/2013,sault ste marie (canada),on,,light,600,2 orange lights going east to south.,46.521858,-84.34609
1/1/2013,stockton,ca,us,fireball,720,10 total craft spotted all orange fireball and all completely silent,37.9577778,-121.2897222
1/1/2013,port richey,fl,us,sphere,90,Two orange spheres moving in the cloudy night sky for 90 seconds then they disappeared.,28.2713889,-82.7197222
1/1/2013,ridgecrest,ca,us,light,300,We saw a pair of stationary red-orange lights when we started home one vanished the other created a new object shortly after.,35.6225,-117.67
